================================================================================
 MOTION PREDICTION V8 ??TEMPORAL GRU + TRAJ REFINER + LATE-HORIZON LOSS
 Data Root:       E:\motion_planning\data\processed\prediction_pt_85k
 Output Dir:      .\checkpoints\v8_hardcls
 Resume Checkpoint: .\checkpoints\v6_temporal\best_error_score.pth
 Epochs:          20 (Batch: 32, LR: 0.0001)
 Neighbors/Map:   16 hist / 64 map pts
 Loss extras:     time_weight_end=2.5, weight_fde=0.75, cls=0.8, hard_cls=0.5
 aWTA:            tau 0.5->0.25, Top-2->1
 Workers/Prefetch: 8/4
 AMP:             bf16 (torch.bfloat16)
 Compute Device:  cuda (NVIDIA GeForce RTX 5080)
================================================================================
-> Detected 1 window(s) per pack
-> Train Scenes: 229653 | Val Scenes: 25725 | Train windows: 229653 | Val windows: 25725
-> Model params: 1.514M
-> Loading compatible weights from: .\checkpoints\v6_temporal\best_error_score.pth
-> Loaded 50/50 tensors (new layers stay random/zero)
-> Optimizer: AdamW fused=True
 [Epoch 02/20] Step [02000/7177] | Loss: 19.0577 | minADE6: 0.833m | minADE1: 1.488m | 9.9 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [02200/7177] | Loss: 19.2087 | minADE6: 0.816m | minADE1: 1.489m | 9.8 steps/s | GPU -1% 100MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [02400/7177] | Loss: 20.4572 | minADE6: 0.815m | minADE1: 1.489m | 10.0 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [02600/7177] | Loss: 20.9075 | minADE6: 0.820m | minADE1: 1.483m | 10.2 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [02800/7177] | Loss: 19.5983 | minADE6: 0.817m | minADE1: 1.479m | 10.2 steps/s | GPU -1% 102MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [03000/7177] | Loss: 20.3941 | minADE6: 0.809m | minADE1: 1.479m | 10.4 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [03200/7177] | Loss: 20.6230 | minADE6: 0.812m | minADE1: 1.474m | 10.4 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [03400/7177] | Loss: 21.0411 | minADE6: 0.829m | minADE1: 1.506m | 10.4 steps/s | GPU -1% 102MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [03600/7177] | Loss: 20.2045 | minADE6: 0.828m | minADE1: 1.531m | 10.5 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [03800/7177] | Loss: 20.7128 | minADE6: 0.829m | minADE1: 1.510m | 10.6 steps/s | GPU -1% 102MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [04000/7177] | Loss: 21.7721 | minADE6: 0.823m | minADE1: 1.499m | 10.5 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [04200/7177] | Loss: 20.6402 | minADE6: 0.823m | minADE1: 1.516m | 10.6 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [04400/7177] | Loss: 21.3271 | minADE6: 0.831m | minADE1: 1.495m | 10.4 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [04600/7177] | Loss: 21.1637 | minADE6: 0.834m | minADE1: 1.486m | 9.8 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [04800/7177] | Loss: 19.5579 | minADE6: 0.842m | minADE1: 1.536m | 9.7 steps/s | GPU -1% 100MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [05000/7177] | Loss: 21.4610 | minADE6: 0.803m | minADE1: 1.452m | 9.6 steps/s | GPU -1% 102MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [05200/7177] | Loss: 19.3384 | minADE6: 0.839m | minADE1: 1.512m | 9.9 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [05400/7177] | Loss: 20.8752 | minADE6: 0.819m | minADE1: 1.475m | 9.8 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [05600/7177] | Loss: 19.7260 | minADE6: 0.836m | minADE1: 1.502m | 9.7 steps/s | GPU -1% 103MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [05800/7177] | Loss: 20.2270 | minADE6: 0.838m | minADE1: 1.507m | 9.9 steps/s | GPU -1% 102MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [06000/7177] | Loss: 20.1169 | minADE6: 0.827m | minADE1: 1.494m | 9.6 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [06200/7177] | Loss: 20.9294 | minADE6: 0.809m | minADE1: 1.469m | 9.7 steps/s | GPU -1% 102MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [06400/7177] | Loss: 20.9854 | minADE6: 0.825m | minADE1: 1.500m | 9.9 steps/s | GPU -1% 102MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [06600/7177] | Loss: 19.6770 | minADE6: 0.835m | minADE1: 1.534m | 9.9 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [06800/7177] | Loss: 20.0644 | minADE6: 0.834m | minADE1: 1.497m | 9.5 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
 [Epoch 02/20] Step [07000/7177] | Loss: 21.5580 | minADE6: 0.850m | minADE1: 1.514m | 9.6 steps/s | GPU -1% 101MB -1W | tau: 0.48, Top-2
Epoch 02/20 (725.3s, 7177 steps) | Train Loss: 20.5110, minADE6: 0.827m, minADE1: 1.498m | Val Loss: 21.1172, val_minADE6: 0.8435m, val_minADE1: 1.5519m, val_minFDE6: 13.2751m, Error Score: 1.1977
 [Epoch 03/20] Step [00050/7177] | Loss: 22.6664 | minADE6: 0.823m | minADE1: 1.494m | 7.7 steps/s | GPU -1% 100MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [00100/7177] | Loss: 19.4799 | minADE6: 0.815m | minADE1: 1.454m | 9.1 steps/s | GPU -1% 102MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [00150/7177] | Loss: 20.2087 | minADE6: 0.856m | minADE1: 1.513m | 9.1 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [00200/7177] | Loss: 18.4627 | minADE6: 0.829m | minADE1: 1.475m | 9.2 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [00400/7177] | Loss: 20.5872 | minADE6: 0.829m | minADE1: 1.487m | 8.8 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [00600/7177] | Loss: 19.5269 | minADE6: 0.807m | minADE1: 1.453m | 8.9 steps/s | GPU -1% 100MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [00800/7177] | Loss: 21.5503 | minADE6: 0.828m | minADE1: 1.490m | 8.5 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [01000/7177] | Loss: 20.0567 | minADE6: 0.807m | minADE1: 1.442m | 9.1 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [01200/7177] | Loss: 20.1530 | minADE6: 0.821m | minADE1: 1.466m | 9.4 steps/s | GPU -1% 101MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [01400/7177] | Loss: 20.9976 | minADE6: 0.809m | minADE1: 1.447m | 9.5 steps/s | GPU -1% 100MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [01600/7177] | Loss: 20.1337 | minADE6: 0.828m | minADE1: 1.502m | 9.0 steps/s | GPU -1% 100MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [01800/7177] | Loss: 20.4098 | minADE6: 0.824m | minADE1: 1.489m | 9.1 steps/s | GPU -1% 99MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [02000/7177] | Loss: 20.1599 | minADE6: 0.826m | minADE1: 1.491m | 9.2 steps/s | GPU -1% 100MB -1W | tau: 0.46, Top-2
 [Epoch 03/20] Step [02200/7177] | Loss: 20.6731 | minADE6: 0.832m | minADE1: 1.487m | 9.5 steps/s | GPU -1% 99MB -1W | tau: 0.46, Top-2
